Entity Number,Type,Value,Note,,,,,,
1456,loc,North Pole,region,,,,,,
1457,loc,Java,region,,,,,,
1458,per,a priest,religious figure,,,,,,
1459,misc,solar eclipse,historic,,,,,,
1460,per,Berton,public figure,,,,,,
1461,per,Burton,public figure,,,,,,
1463,per,Arnold,,,,,,,
1464,per,Harold,,,,,,,
1465,per,Burton’s sister,,,,,,,
1466,per,the Robinsons [Mr. Robinson],curator,,,,,,
1467,per,the Robinsons [Mrs. Robinson],,,,,,,
1468,per,Dick Norton,art historian,,,,,,
1469,per,Mrs. Montgomery Sears,art collector,,,,,,
1470,misc,"""Etruscan” jewelry",art described by region,,,,,,
1471,per,Mrs. Sears,,,,,,,
1472,loc,Museum,cultural heritage institution,,,,,,
1473,per,Norton,art historian,,,,,,
1474,loc,Museum,cultural heritage institution,,,,,,
1476,per,Perugino,artist-painter,,,,,,
1477,misc,our Perugino,painting,,,,,,
1478,per,Robinson,curator,,,,,,
1480,per,his wife,,,,,,,
1482,loc,Hotel Somerset,accommodation,,,,,,
1483,loc,Boston,city,,,,,,
1484,date,"Saturday, Nov. 28, 1903",,,,,,,
1485,per,Mrs. Gardner,art collector,,,,,,
1486,per,Senda,,,,,,,
1487,misc,[Chinese art],art described by region,,,,,,
1488,misc,[Japanese art],art described by region,,,,,,
1491,loc,her beautiful Palace,cultural heritage museum,,,,,,
1492,per,Edward Everett Hale,scholar,,,,,,
1493,per,a sweet clean wife,,,,,,,
1494,per,daughter,artist-painter,,,,,,
1496,per,Ellen Hale,artist-painter,,,,,,
1497,per,the Fletchers [Mr. Fletcher],,,,,,,
1498,per,the Fletchers [Mrs. Fletcher],,,,,,,
1499,loc,Cambridge,city,,,,,,
1500,per,Mr. Thayer,,,,,,,
1502,per,his wife,,,,,,,
1503,per,Bessie Ware,,,,,,,
1504,per,Logan,artist-writer,,,,,,
1506,loc,Hotel Somerset,accommodation,,,,,,
1507,loc,Boston,city,,,,,,
1508,date,"Sunday, Nov. 29, 1903",,,,,,,
1509,per,Charles Tyler,,,,,,,
1510,per,Fox,architect,,,,,,
1511,per,tyler,,,,,,,
1513,org,Pullman,business,,,,,,
1514,loc,Newburyport,city,,,,,,
1515,misc,"""Mr. White""",transportation vessel,,,,,,
1516,loc,Newburyport,city,,,,,,
1517,loc,Hampton Beach,neighborhood,,,,,,
1518,loc,Hampton  ,city,,,,,,
1519,per,B. B.,,,,,,,
1520,per,Tyler,,,,,,,
1521,per,Gertrude Moulton,,,,,,,
1522,loc,Union Club,,,,,,,
1523,per,Mr. Tyler,,,,,,,
1524,loc,the West,region,,,,,,
1525,per,a Texan,criminal,,,,,,
1527,per,B. B.,,,,,,,
1528,per,Billy Taylor,,,,,,,
1529,per,Bernhard,,,,,,,
1530,per,Ray,,,,,,,
1531,per,Bernhard ,,,,,,,
1532,loc,Hotel Somerset,accommodation,,,,,,
1533,loc,Boston,city,,,,,,
1534,date,"Monday, Nov. 30, 1903",,,,,,,
1535,per,B. B.,,,,,,,
1536,loc,Museum,cultural heritage institution,,,,,,
1537,per,Mrs. Rogers,,,,,,,
1538,org,home for underpaid shop-girls,philanthropic,,,,,,
1539,per,Miss Sarah Gardiner,,,,,,,
1540,per,the Bullards [Mr. Bullard],art collector,,,,,,
1541,per,the Bullards [Mrs. Bullard],,,,,,,
1542,misc,Mr. Bullard's collection,art collection,,,,,,
1543,misc,Whistler etchings and lithographs,print,,,,,,
1544,per,Whistler,artist-painter,,,,,,
1546,per,Mrs. Longyear,religious figure,,,,,,
1547,per,Mrs. Perry,,,,,,,
1548,per,Mr. Dow,artist-photographer,,,,,,
1549,per,Bernhard,,,,,,,
1550,per,Mr. Dow,artist-photographer,,,,,,
1551,per,B. B.,,,,,,,
1553,per,Miss Fanny Alexander,artist-illustrator,,,,,,
1555,per,Ruskin,art critic,,,,,,
1556,per,B.B.,,,,,,,
1557,org,Kneisel Quartette,cultural,,,,,,
1558,loc,Cambridge,city,,,,,,
1559,per,Mrs. Ross,,,,,,,
1560,misc,Kruzer Sonata,,,,,,,
1561,per,Beethoven,artist-composer,,,,,,
1562,loc,Hotel Somerset,accommodation,,,,,,
1563,loc,Boston,city,,,,,,
1564,date,"Tuesday, Dec. 1, 1903",,,,,,,
1565,per,Mrs. Gardner,art collector,,,,,,
1566,per,Melba,artist-musician,,,,,,
1567,loc,Symphony Hall,cultural heritage institution,,,,,,
1568,loc,Concord,city,,,,,,
1569,per,Edward Forbes,art historian,,,,,,
1570,per,Emerson,public figure / artist-writer,,,,,,
1572,loc,"""School of Philosophy""",cultural heritage institution,,,,,,
1573,org,"""School of Philosophy""",academic,,,,,,
1574,loc,Hawthorne’s house,historic,,,,,,
1575,per,Hawthorne,artist-writer,,,,,,
1576,per,Miss Emerson,,,,,,,
1577,loc,Emerson’s study,historic,,,,,,
1578,loc,Middlesex school,education,,,,,,
1579,loc,Concord,city,,,,,,
1581,per,tucker Burr,lawyer,,,,,,
1582,per,[Mr. Minot],medical professional,,,,,,
1583,per,Mrs. Minot,,,,,,,
1584,per,[Mr. Thorndyke],medical professional,,,,,,
1585,per,Mrs. Thorndyke,,,,,,,
1586,per,[Mr. Warren],lawyer ,,,,,,
1587,per,[Mrs. Sam Warren],,,,,,,
1588,per,the Barrett Wendells [Mr. Barrett Wendell],professor,,,,,,
1589,per,the Barrett Wendells [Mrs. Barrett Wendell],,,,,,,
1590,per,Tucker,lawyer,,,,,,
1591,per,Mr. Burr,lawyer,,,,,,
1593,per,B. B.,,,,,,,
1594,loc,Hotel Somerset,accommodation,,,,,,
1595,loc,Boston,city,,,,,,
1596,date,"Wednesday, Dec. 2, 1903",,,,,,,
1597,per,Bernhard,,,,,,,
1598,misc,[Chrisitan Science treatment],religious beliefs / practices,,,,,,
1599,per,Mrs. Longyear,religious figure,,,,,,
1600,per,Mrs. Tyler,,,,,,,
1602,per,B.B.,,,,,,,
1603,per,Mr. Bullard,art collector,,,,,,
1604,per,Mrs. Elliott,artist-writer,,,,,,
1605,per,Julia Ward Howe,artist-writer,,,,,,
1606,per,Mrs. Higginson,,,,,,,
1607,per,Mrs. Rogers,,,,,,,
1608,loc,Savin Hill,neighborhood,,,,,,
1609,loc,Hotel Somerset,accommodation,,,,,,
1610,loc,Boston,city,,,,,,
1611,date,"Thursday, Dec. 3, 1903",,,,,,,
1612,per,B. B.,,,,,,,
1613,loc,Cambridge,city,,,,,,
1614,per,Wendell,professor,,,,,,
1615,per,Royce,professor,,,,,,
1616,per,Miss Norton,scholar,,,,,,
1617,per,the Sam Warrens [Mr. Warren],lawyer,,,,,,
1618,per,the Sam Warrens [Mrs. Warren],,,,,,,
1619,per,Mr. and Mrs. Coolidge [Mr. Coolidge],professor,,,,,,
1620,per,Mr. and Mrs. Coolidge [Mrs. Coolidge],,,,,,,
1621,per,Templeman Coolidge,art collector,,,,,,
1622,per,The Robinsons [Mr. Robinson],curator,,,,,,
1623,per,The Robinsons [Mrs. Robinson],,,,,,,
1624,per,Denman Ross,public figure / artist-painter,,,,,,
1625,per,Pritchard,art historian,,,,,,
1626,per,Mr. Ross,public figure / artist-painter,,,,,,
1627,per,Mr. Robinson,curator,,,,,,
1628,per,Mr. Robinson,curator,,,,,,
1629,misc,the Perugino,painting,,,,,,
1630,per,Perugino,artist-painter,,,,,,
1631,loc,Guernsey Hall,accomodation,,,,,,
1632,loc,Princeton,city,,,,,,
1633,loc,New Jersey,state,,,,,,
1634,date,"Friday, Dec. 4, 1903",,,,,,,
1635,org,Pullman car,business,,,,,,
1636,loc,New York,state,,,,,,
1637,misc,Cyclopean,art historical adjective,,,,,,
1638,loc,San Gemignano,town,,,,,,
1639,per,Mrs. Marquand,scholar,,,,,,
1641,per,Mr. Marquand,art historian,,,,,,
1643,per,Mr. Morey,student / scholar,,,,,,
1644,per,Freddie Pease,professor,,,,,,
1645,loc,Guernsey Hall,accomodation,,,,,,
1646,loc,Princeton,city,,,,,,
1647,loc,New Jersey,state,,,,,,
1648,date,"Saturday, Dec. 5, 1903",,,,,,,
1649,loc,the college,school,,,,,,
1650,per,Mr. Potter,architect,,,,,,
1652,per,Walter Cope,architect,,,,,,
1653,loc,Walter Cope's building,"school, part of",,,,,,
1655,per,Bernhard,art historian,,,,,,
1656,per,Mrs. Marquand,scholar,,,,,,
1657,per,Mr. Marquand,scholar,,,,,,
1659,per,Mr. Cross,,,,,,,
1660,per,George Eliot,artist-writer,,,,,,
1661,loc,Guernsey Hall,accomodation,,,,,,
1662,loc,Princeton,city,,,,,,
1663,loc,New Jersey,state,,,,,,
1664,date,"Sunday, Dec. 6, 1903",,,,,,,
1665,misc,Saint Gaudens monument,sculpture,,,,,,
1666,per,Saint Gaudens,artist-scultpor,,,,,,
1667,misc,La Farge and Lathrop (?) windows,sculpture,,,,,,
1668,per,La Farge,artist-sculptor,,,,,,
1669,per,Lathrop,artist-sculptor,,,,,,
1671,per,Mr. Morey,professor,,,,,,
1672,per,Mr. Pease ,professor,,,,,,
1673,per,Mr. Butler,scholar,,,,,,
1674,loc,Orontes,landmark,,,,,,
1676,loc,Hotel Plaza,accomodation,,,,,,
1677,loc,New York,city,,,,,,
1678,date,"Monday, Dec. 7, 1903",,,,,,,
1681,per,August Jacacci,artist-painter,,,,,,
1683,per,Mr. Jacacci,artist-painter,,,,,,
1684,per,Mr. Kenyon Dox,artist-painter,,,,,,
1685,per,Mr. Jacacci,artist-painter,,,,,,
1686,misc,Italian pictures,art described by region,,,,,,
1688,loc,Hotel Plaza,accomodation,,,,,,
1689,loc,New York,city,,,,,,
1690,date,"Tuesday, Dec. 8, 1903",,,,,,,
1691,loc,the Bank,business,,,,,,
1693,per,Mr. Garrison,public figure,,,,,,
1694,misc,The Nation,newspaper,,,,,,
1695,per,Mr. Mather,journalist,,,,,,
1696,per,Hutchins,artist-writer,,,,,,
1697,per,Neith,artist-writer,,,,,,
1698,per,her father,,,,,,,
1700,per,her mother,,,,,,,
1702,per,Norman,artist-writer,,,,,,
1703,per,Wife,social reformer,,,,,,
1706,per,Florence Dike (Reynolds),,,,,,,
1709,per,Bernhard,,,,,,,
1710,per,Mr. Winthrop,art collector,,,,,,
1711,per,Norman,artist-writer,,,,,,
1712,per,Charles Dana Gibson,artist-illustrator,,,,,,
1714,per,George Carpenter,scholar,,,,,,
1715,loc,California,state,,,,,,
1716,loc,New Zealand,country,,,,,,
1717,loc,Europe,continent,,,,,,
1718,per,Tucker Burr,banker,,,,,,
1719,loc,the Somerset,accomodation,,,,,,
1720,per,Mr. Berenson,,,,,,,
1721,per,Burrnarrd,,,,,,,
1724,loc,Hotel Plaza,accomodation,,,,,,
1725,loc,New York,city,,,,,,
1726,date,"Wednesday, Dec. 9, 1903",,,,,,,
1727,per,Mr. Bullard,art collector,,,,,,
1728,misc,[article by Bernard Berenson],article,,,,,,
1729,misc,[article by Bernard Berenson],article,,,,,,
1730,misc,Burlington Magazine,magazine,,,,,,
1732,per,Francis Bullard,art collector,,,,,,
1733,loc,a strange Settlement,accomodation,,,,,,
1734,loc,Catskill Mountains,region,,,,,,
1735,per,the founder,public figure,,,,,,
1736,per,Mr. W. D. Murphy,public figure,,,,,,
1737,per,Mr. Kenyon Cox,artist-painter,,,,,,
1740,misc,portrait exhibition,cultural,,,,,,
1741,per,Norman,artist-writer,,,,,,
1742,misc,the Sargents,painting,,,,,,
1743,per,Sargeant,artist-painter,,,,,,
1745,per,Denman Ross,public figure / artist-painter,,,,,,
1746,per,Wordsworth,artist-poet,,,,,,
1747,misc,Intimations of Immorality,,,,,,,
1748,misc,the Whistler,painting,,,,,,
1749,per,Whistler,artist-painter,,,,,,
1750,loc,Santa Barbara,city,,,,,,
1751,per,Mr. Ilsley,banker,,,,,,
1752,loc,Milwaukee,city,,,,,,
1753,per,Mrs. Hooker,,,,,,,
1754,loc,Santa Barbara,city,,,,,,
1755,loc,Europe,continent,,,,,,
1756,loc,Italy,country,,,,,,
1758,loc,[Florence],city,,,,,,
1759,loc,the Riviera,region,,,,,,
1760,loc,Venice,city,,,,,,
1761,loc,Munich,city,,,,,,
1762,loc,Dresden,city,,,,,,
1763,loc,Paris,city,,,,,,
1764,misc,Portrait Exhibition,cultural,,,,,,
1765,per,Norman,artist-writer,,,,,,
1767,per,Sargeant,artist-painter,,,,,,
1768,per,Mr. Kenyon Cox,artist-painter,,,,,,
1769,misc,[painting by Kenyon Cox],painting,,,,,,
1770,per,St. Gaudens,artist-sculptor,,,,,,
1771,misc,[medal by Augustus St. Gaudens],sculpture,,,,,,
1772,misc,[relief by Augustus St. Gaudens],sculpture,,,,,,
1773,per,Bernhard,,,,,,,
1774,loc,Metropolitan Museum,cultural heritage institution,,,,,,
1775,per,Mr. Story,artist-sculptor,,,,,,
1776,per,Cottenet,public figure,,,,,,
1777,per,Miss Satey Fairchild,,,,,,,
1778,misc,the Exhibition,cultural,,,,,,
1779,per,Blair,artist-composer,,,,,,
1780,per,Cottenet,public figure,,,,,,
1782,per,Bernhard,,,,,,,
1783,loc,Century Association,club,,,,,,
1784,per,Sir William Van Horn,businessperson,,,,,,
1785,per,La Farge,artist-painter,,,,,,
1786,per,Mr. Carey,,,,,,,
1787,per,Jacacci,artist-painter,,,,,,
1788,per,Van Horn,businessperson,,,,,,
1790,org,Canadian Pacific,business,,,,,,
1791,loc,Cuba,country,,,,,,
1793,loc,Hotel Plaza,accomodation,,,,,,
1794,loc,New York,city,,,,,,
1795,date,"Thursday, Dec. 10, 1903",,,,,,,
1796,per,Bernhard,,,,,,,
1797,per,Cesnola,public figure,,,,,,
1798,loc,the Museum,cultural heritage institution,,,,,,
1801,loc,Brooklyn,neighborhood,,,,,,
1802,per,Hamilton Field,artist-painter,,,,,,
1803,per,Roger,artist-painter,,,,,,
1804,per,Trevy,artist-poet,,,,,,
1806,loc,New York,city,,,,,,
1808,per,Florence Mosher,,,,,,,
1809,per,Ned Warren,art collector,,,,,,
1810,loc,Boston,city,,,,,,
1812,per,Bernhard,,,,,,,
1813,per,[William Cornelius Van Horne],businessperson,,,,,,
1814,per,[John La Farge],artist-sculptor,,,,,,
1815,per,[Mr.  Carey],,,,,,,
1816,per,[Mr.  Jaccaci],artist-painter,,,,,,
1817,loc,Waldorf Astoria Hotel,accomodation,,,,,,
1819,loc,Hotel Plaza,accomodation,,,,,,
1820,loc,New York,city,,,,,,
1821,date,"Friday, Dec. 11, 1903",,,,,,,
1822,loc,Fifth Avenue,street,,,,,,
1823,per,Mr. Bullard,art collector,,,,,,
1824,per,Mr. Grenville Winthrop,art collector,,,,,,
1826,per,Mr. Hastings,architect,,,,,,
1827,loc,Library,cultural heritage institution,,,,,,
1829,misc,XVIII century art,"art style, period, or movement",,,,,,
1830,misc,Beaux Arts,"art style, period, or movement",,,,,,
1831,misc,the revolution,historic,,,,,,
1832,per,Carman,artist-poet,,,,,,
1834,per,the Dunnes [Mr. Dunne],athlete,,,,,,
1835,per,the Dunnes [Mrs. Dunne],,,,,,,
1836,per,Mrs. Abbott,athlete,,,,,,
1838,per,Mrs. Chapman,,,,,,,
1839,per,Ned Warren,art collector,,,,,,
1840,per,Mr. Marshall,art collector,,,,,,
1841,loc,Irving Place,street,,,,,,
1842,per,Ned,art collector,,,,,,
1843,loc,America,country,,,,,,
1846,per,Ned,art collector,,,,,,
1847,loc,Boston,city,,,,,,
1848,loc,Hotel Plaza,accomodation,,,,,,
1849,loc,New York,city,,,,,,
1850,date,"Saturday, Dec. 12, 1903",,,,,,,
1851,loc,Tiffany glass works,business,,,,,,
1852,per,Bond,,,,,,,
1854,per,Bond,,,,,,,
1855,misc,Christmas,cultural,,,,,,
1856,misc,Christmas,cultural,,,,,,
1857,org,Tiffany's,business,,,,,,
1859,per,Bond,,,,,,,
1860,loc,Court of Appeal,governmental,,,,,,
1863,per,Kenyon Cox,artist-painter,,,,,,
1864,misc,[decorations by Kenyon Cox],mural,,,,,,
1866,per,Bernhard,,,,,,,
1867,per,Mr. Van Dyke,art historian,,,,,,
1868,loc,the Century,club,,,,,,
1869,per,Florence,,,,,,,
1870,loc,the Arts,,,,,,,
1871,per,Bernhard,,,,,,,
1872,per,B.B.,,,,,,,
1874,loc,America,country,,,,,,
1875,per,Mrs. George Carpenter,,,,,,,
1876,per,Mrs. Manson,,,,,,,
1877,per,Cora Burr Harden,,,,,,,
1878,per,Bernhard,,,,,,,
1880,per,Mr. Laffan,public figure / businessman,,,,,,
1881,misc,the Sun,newspaper,,,,,,
1882,per,Norman,artist-writer,,,,,,
1884,per,the Crolys [Mr. Crolys],philosopher / public figure,,,,,,
1885,per,the Crolys [Mrs. Crolys],,,,,,,
1886,per,Kenyon Cox,artist-painter,,,,,,
1887,per,Miss Eisham,,,,,,,
1888,per,Bernhard,artist-painter,,,,,,
1889,per,Kenyon Cox,artist-painter,,,,,,
1892,per,Van Horne,businessperson,,,,,,
1893,loc,Hotel Plaza,accomodation,,,,,,
1894,loc,New York,city,,,,,,
1895,date,"Sunday, Dec. 13, 1903",,,,,,,
1896,per,Mr. Eugene Glaenzer,art collector / art dealer,,,,,,
1897,per,Laffone,public figure / businessman,,,,,,
1899,per,Fuchs,artist-musician,,,,,,
1900,misc,a so-called Correggio,print,,,,,,
1901,per,Correggio,artist-painter,,,,,,
1902,per,Mr. Richardson,art collector,,,,,,
1904,loc,Flushing,neighborhood,,,,,,
1905,loc,Long Island,region,,,,,,
1906,per,Edith,artist-sculptor,,,,,,
1907,per,Bryson Burroughs,artist-painter / curator,,,,,,
1908,per,Norman,artist-writer,,,,,,
1909,per,the Crolys [Mr. Crolys],philosopher / public figure,,,,,,
1910,per,the Crolys [Mrs. Crolys],,,,,,,
1911,per,the Alexanders [Mr. Alexander],artist-painter,,,,,,
1912,per,the Alexanders [Mrs. Alexander],,,,,,,
1913,per,Mr. Van Dyke,,,,,,,
1914,per,Mr. Steffens,artist-writer,,,,,,
1915,per,Mrs. Cadwallader Jones,,,,,,,
1916,per,Mrs. Sorchon,,,,,,,
1917,per,Goellet the actor,artist-actor,,,,,,
1918,per,R.L. Stevenson,artist-writer,,,,,,
1919,per,[R.L. Stevenson's widow],,,,,,,
1920,per,her son,artist-writer,,,,,,
1921,per,Emilie,social reformer ,,,,,,
1923,per,Bernhard,,,,,,,
1924,date,"Monday, Dec. 14, 1903",,,,,,,
1925,loc,Albany,city,,,,,,
1926,loc,the Hudson,landmark,,,,,,
1927,per,Mrs. Richmond,,,,,,,
1928,per,Mr. Fenimore Cooper,,,,,,,
1929,per,the novelist,artist-writer,,,,,,
1930,per,Mr. Cooper,,,,,,,
1931,misc,a Holbein,painting,,,,,,
1932,per,Holbein,artist-painter,,,,,,
1933,per,Mr. Thacker,,,,,,,
1934,misc,my lecture,lecture,,,,,,
1935,per,the Richmonds,,,,,,,
1936,per,the Richmonds [Mr. Richmond],,,,,,,
1937,per,[Mr. Parsons],public figure / politial figure,,,,,,
1938,per,Mrs. Parsons,public figure / scholar,,,,,,
1939,per,the President,public figure,,,,,,
1940,loc,State Education Bureau,governmental,,,,,,
1941,loc,Albany,city,,,,,,
1943,loc,America,country,,,,,,
1944,per,Bernhard,,,,,,,
1945,per,Glaenzer,art collector / art dealer,,,,,,
1946,per,La Farge,artist-sculptor,,,,,,
1947,per,the Chapmans [Mr.],,,,,,,
1948,per,the Chapmans [Mrs. Chapman],,,,,,,
1949,per,Sargeant,artist-painter,,,,,,
1951,per,he,artist-painter,,,,,,
1952,per,George Carpenter,scholar,,,,,,
1953,loc,the Club,club,,,,,,
1954,per,La Farge,artist-sculptor,,,,,,
1955,loc,Hotel Plaza,accomodation,,,,,,
1956,loc,New York,city,,,,,,
1957,date,"Tuesday, Dec. 15, 1903",,,,,,,
1958,per,Mr. Palmer,artist-painter,,,,,,
1959,loc,Albany,city,,,,,,
1960,per,Miss Davidge,,,,,,,
1961,per,Bernhard,,,,,,,
1962,per,Norman Hapgood,artist-writer,,,,,,
1963,per,Jerome,,,,,,,
1964,per,Hodder,artist-writer,,,,,,
1965,per,Goelet,,,,,,,
1966,per,Collier,businessman / public figure,,,,,,
1967,per,Alexander,artist-painter,,,,,,
1968,per,Dunne,artist-writer,,,,,,
1969,per,Herford,artist-writer / artist-illustrator,,,,,,
1970,per,Clyde Fitch,artist-playwright,,,,,,
1971,per,Miss Elsie de Wolfe,artist-actor,,,,,,
1972,per,Miss Marbury,producer,,,,,,
1973,per,Miss de Wolfe,artist-actor,,,,,,
1974,per,Gladys,public figure,,,,,,
1975,loc,Versailles,landmark,,,,,,
1976,per,Bernhard,,,,,,,
1977,per,Herford,artist-writer / artist-illustrator,,,,,,
1979,loc,Hotel Plaza,accomodation,,,,,,
1980,loc,New York,city,,,,,,
1981,date,"Wednesday, Dec. 16, 1903",,,,,,,
1982,per,Mrs. Bullard,,,,,,,
1983,per,Mrs. Davis,,,,,,,
1984,loc,Italy,country,,,,,,
1985,per,the Young Lady,,,,,,,
1986,per,Rawlins Cottenett,,,,,,,
1987,per,Mrs. Sorchau,,,,,,,
1988,per,Mr. Robin Grey,bookseller,,,,,,
1989,loc,Sherry’s,restaurant,,,,,,
1990,per,Neith,artist-writer,,,,,,
1991,per,Fenellosas [Mr. Fenellosa],art historian,,,,,,
1992,per,Fenellosas [Mrs. Fenellosa],artist-writer,,,,,,
1993,per,Steffens [Mr. Steffens],journalist,,,,,,
1994,per,Hodder,artist-writer,,,,,,
1995,per,Norman Hapgood,artist-writer,,,,,,
1996,per,Alexanders [Mr. Alexander],artist-painter,,,,,,
1997,per,Alexanders [Mrs. Alexander],,,,,,,
1999,loc,Hotel Plaza,accomodation,,,,,,
2000,loc,New York,city,,,,,,
2001,date,"Thursday, Dec. 17, 1903",,,,,,,
2003,per,Bernhard,,,,,,,
2004,per,Mr. Lathrop,artist-sculptor,,,,,,
2005,per,Mr. Hyde,businessperson,,,,,,
2006,per,Miss Platt,athlete,,,,,,
2007,per,Mr. Gregory,,,,,,,
2008,per,Cottenett,,,,,,,
2010,per,Chapmans [Mr. Chapman],architect,,,,,,
2011,per,Chapmans [Mrs. Chapman],,,,,,,
2012,per,[Mr. Lawrence],,,,,,,
2013,per,Mrs. Lawrence,,,,,,,
2014,misc,Concert of Old Music,cultural,,,,,,
2015,per,Bernhard,,,,,,,
2017,loc,Hotel Plaza,accomodation,,,,,,
2018,loc,New York,city,,,,,,
2019,date,"Friday, Dec. 18, 1903",,,,,,,
2020,per,Cora Hardon,,,,,,,
2021,per,Bernhard,,,,,,,
2022,per,Mr. Rhinelander,public figure,,,,,,
2023,per,President of the Board of Trustees,,,,,,,
2024,loc,Metropolitan Meseum,cultural heritage institution,,,,,,
2025,per,the Curator,curator / public figure,,,,,,
2026,per,Cesnola,curator / public figure,,,,,,
2027,misc,Italian ,proper noun adjective,,,,,,
2028,per,Ned Warren,art collector,,,,,,
2029,misc,David “Leonardo”,sculpture,,,,,,
2030,per,Mr. Richard Norton,art historian,,,,,,
2032,per,Davis,art collector,,,,,,
2033,misc,the Nation,newspaper,,,,,,
2034,per,B. B.,,,,,,,
2035,per,Mansons [Mr. Manson],,,,,,,
2036,per,Mansons [Mrs. Manson],,,,,,,
2037,per,Mansons [Mr. Manson],,,,,,,
2038,per,Mr. Laffan,public figure / businessman,,,,,,
2040,per,[Mr. Gayley],businessperson,,,,,,
2041,per,Mrs. Gayley,,,,,,,
2043,loc,Tranquillity Farm,estate,,,,,,
2044,loc,Allamuchy Post Office,governmental,,,,,,
2045,loc,Warren County,region,,,,,,
2046,loc,New Jersey,state,,,,,,
2047,date,"Saturday, Dec. 19, 1903",,,,,,,
2048,loc,Hackettstown,city,,,,,,
2049,per,[Mr. Rutherford Stuyvesant],public figure,,,,,,
2050,per,Mrs. Rutherford Stuyvesant,,,,,,,
2051,per,Mrs. Chapman,,,,,,,
2052,loc,“Tranquillity Farm”,estate,,,,,,
2053,loc,Allamuchy,city,,,,,,
2055,per,Mrs. Rutherford Stuyvesant,,,,,,,
2057,misc,French,proper noun adjective,,,,,,
2058,misc,French,proper noun adjective,,,,,,
2059,per,Mr. Stuyvesant,public figure,,,,,,
2061,per,Mr. Rutherford,public figure,,,,,,
2063,misc,English,proper noun adjective,,,,,,
2064,loc,a house near by,landmark,,,,,,
2065,loc,Tranquillity Farm,estate,,,,,,
2066,date,"Saturday, Dec. 20, 1903",,,,,,,
2067,per,Bernhard,,,,,,,
2068,per,Stuyvesants [Mr. Stuyvesant],public figure,,,,,,
2069,per,Stuyvesants [Mrs. Stuyvesant],,,,,,,
2070,per,Soloman,historic,,,,,,
2072,loc,Museum,cultural heritage institution,,,,,,
2073,per,Mrs. Stuyvesant,,,,,,,
2074,per,Bernhard,,,,,,,
2075,per,Mr. Chapman,architect,,,,,,
2077,loc,Plaza Hotel,accommodation,,,,,,
2078,loc,New York,city,,,,,,
2079,date,"Monday, Dec. 21, 1903",,,,,,,
2080,per,Miss Chanler,,,,,,,
2081,per,Cora Harden,,,,,,,
2082,per,Bernhard,,,,,,,
2084,per,Fafner,,,,,,,
2085,per,Bond,,,,,,,
2086,per,Josephine,,,,,,,
2087,per,Bond,,,,,,,
2088,per,Josephine,,,,,,,
2090,loc,Plaza Hotel,accommodation,,,,,,
2091,loc,New York,city,,,,,,
2092,date,"Tuesday, Dec. 22, 1903",,,,,,,
2093,per,Mr. Yerkes,businessperson,,,,,,
2094,misc,Persian rugs,textiles,,,,,,
2095,misc,one or two forgeries by Costantini,painting,,,,,,
2096,per,Constantini,artist-painter,,,,,,
2098,per,Florence,,,,,,,
2099,per,Mrs. Hewett,,,,,,,
2100,per,Mrs. Russell,,,,,,,
2101,per,Mrs. Parsons,public figure / scholar,,,,,,
2102,per,Mrs. (Florence Lockwood) Grant Lafarge,,,,,,,
2103,per,Mrs. Harry Wharton,,,,,,,
2106,per,Florence Mosher,,,,,,,
2107,per,Miss Carlyle,artist-actor,,,,,,
2109,per,Bliss Carman,artist-poet,,,,,,
2110,per,Mancuse Conway,,,,,,,
2111,per,Alexanders [Mr. Alexander],artist-painter,,,,,,
2112,per,Alexanders [Mrs. Alexander],,,,,,,
2113,per,Truches [Mr. Truche],,,,,,,
2114,per,Truches [Mrs. Truche],,,,,,,
2115,per,Mrs. Jacacci,,,,,,,
2116,per,Norman,artist-writer,,,,,,
2117,per,Kenyon Coxes [Mr. Cox],artist-painter,,,,,,
2118,per,Kenyon Coxes [Mrs. Cox],artist-painter,,,,,,
2119,per,[Mr. Isham],artist-painter,,,,,,
2120,per,Miss Isham,,,,,,,
2121,per,Mr. Garrison,public figure,,,,,,
2123,per,Mrs. Kenyon Cox,,,,,,,
2124,per,Kenyon,,,,,,,
2126,loc,Plaza Hotel,accommodation,,,,,,
2127,loc,New York,city,,,,,,
2128,date,"Wednesday, Dec. 23, 1903",,,,,,,
2129,per,Miss de Wolfe ,artist-actor,,,,,,
2130,per,Gladys,,,,,,,
2131,per,Miss Marbury,producer,,,,,,
2132,per,Mr. Gregory,,,,,,,
2133,per,Marchese di San Vito,public figure,,,,,,
2134,per,Gayleys [Mr. Gayley],,,,,,,
2135,per,Gayleys [Mrs. Gayley],,,,,,,
2136,per,B. B.,,,,,,,
2138,misc,American,proper noun adjective,,,,,,
2139,per,Mrs. Gayley,,,,,,,
2140,per,Mr. Gayley,,,,,,,
2141,per,Bernhard,,,,,,,
2142,per,Miss Bustan,,,,,,,
2143,per,Carnegie,businessman / public figure,,,,,,
2144,per,Schwab,businessman / public figure,,,,,,
2145,per,Carnegie,businessman / public figure,,,,,,
2146,per,Schwab,businessman / public figure,,,,,,
2148,per,Mrs. Gayley,,,,,,,
2149,misc,American ,proper noun adjective,,,,,,
2151,loc,Plaza Hotel,accommodation,,,,,,
2152,loc,New York,city,,,,,,
2153,date,"Thursday, Dec. 24, 1903",,,,,,,
2154,per,Hutchins,artist-writer,,,,,,
